ax,ay,az,gx,gy,gz
0.720947,-0.774658,-0.05542,14.47296,-39.138794,-12.535094
0.729736,-0.768799,-0.035889,13.000487,-29.479979,-9.849548
0.735596,-0.749023,-0.04541,11.177062,-17.150879,-7.057189
0.712891,-0.712646,-0.013184,8.926392,-4.53949,-4.806519
0.677979,-0.681885,-0.010254,6.004333,8.255005,-5.218505
0.654541,-0.673584,-0.02417,2.426147,17.066956,-6.004333
0.632568,-0.679443,-0.068604,-0.343323,18.165588,-5.187988
0.625977,-0.679199,-0.11377,-1.815796,13.137816,-4.28772
0.641357,-0.668945,-0.134033,-2.830505,8.31604,-4.058838
0.64209,-0.659912,-0.134766,-3.860473,8.499146,-3.936767
0.625488,-0.655762,-0.129395,-4.737854,12.145995,-4.386902
0.593262,-0.648926,-0.133545,-5.760192,15.602111,-4.989624
0.57373,-0.643555,-0.131348,-6.721496,16.716003,-5.638122
0.578125,-0.645996,-0.134766,-7.736206,15.464782,-5.760192
0.599121,-0.667725,-0.156006,-8.522034,13.710021,-5.508422
0.615479,-0.684326,-0.171875,-8.049011,11.741637,-5.073547
0.632568,-0.690186,-0.17749,-6.973266,9.45282,-4.53949
0.652588,-0.687256,-0.178467,-5.981445,8.102417,-4.417419
0.658447,-0.686279,-0.178223,-5.485534,8.422852,-3.990173
0.649414,-0.689209,-0.178711,-4.776001,9.864807,-3.39508
0.641113,-0.693604,-0.181885,-3.64685,10.284423,-3.112793
0.625488,-0.698975,-0.180664,-1.808166,9.429932,-2.63977
0.606445,-0.699219,-0.184814,0.480652,7.347106,-1.983642
0.61499,-0.686768,-0.165039,1.976013,4.951477,-2.029419
